movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm
20247782,랜드 오브 배드,Land of Bad,2024,20240313,장편,개봉,미국,"액션,전쟁",미국,액션
20234034,공백,Intolerance,2021,20240316,장편,개봉,일본,드라마,일본,드라마
20235562,인어공주: 마법물약의 비밀,The Little Mermaid,2023,20240314,장편,개봉,미국,애니메이션,미국,애니메이션
20247798,외간 남자의 대물을 꿈꾸는 아내,,2024,20240314,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20247789,무차별 삽입한 옆집 아줌마,,2024,20240314,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20248713,나는 쏠려 마라맛,,2024,20240314,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20236488,밥 말리: 원 러브,Bob Marley: One Love,2023,20240313,장편,개봉,미국,드라마,미국,드라마
20247198,마담 웹,Madame Web,2023,20240313,장편,개봉,미국,"액션,어드벤처,SF",미국,액션
20247593,용감한 돌고래 벨루와 바닷속 친구들,Katak: The Brave Beluga,2023,20240313,장편,개봉,캐나다,애니메이션,캐나다,애니메이션
20247195,레이징 그레이스,Raging Grace,2023,20240313,장편,개봉,영국,"스릴러,미스터리",영국,스릴러
20211477,데드맨,Dead Man,2023,20240207,장편,개봉,한국,범죄,한국,범죄
20247244,호빠 : 예쁜 언니들과 하드코어,,2023,20240208,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스
20247405,우리집에 이채담이 산다,,2023,20240308,장편,개봉,한국,"성인물(에로),드라마,멜로/로맨스",한국,성인물(에로)
20247801,아랫도리 세워준 유부녀 여직원,,2024,20240308,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20247420,동갑내기 장모,,2023,20240308,장편,개봉,한국,"성인물(에로),드라마,멜로/로맨스",한국,성인물(에로)
20247792,의류 회사 여사장의 거래,,2024,20240308,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20247219,사운드 오브 프리덤,Sound Of Freedom,2023,20240221,장편,개봉,미국,범죄,미국,범죄
20248361,형과 아내의 섹스기록-죽기 전 씨 뿌리고 가련다,GIKEINIYOWAMI,2023,20240307,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20248360,젖은 계곡 헤집고 들어온 새아들,,2023,20240307,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20247797,신음하는 육덕녀의 흐르는 액체,,2024,20240307,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20234808,생츄어리 2 : 쿼카가 너무해,Daisy Quokka: World's Scariest Animal ,2020,20240307,장편,개봉,호주,"애니메이션,액션,어드벤처",호주,애니메이션
20235114,부활 그 소망,HOPE,2023,20240307,장편,개봉,한국,다큐멘터리,한국,다큐멘터리
20248359,누나 친구의 손기술-아!잇쿠!,DOUTEIDAXTUTAORE,2022,20240307,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20247796,굶주린 오빠의 제물이 된 여동생,,2024,20240307,장편,개봉,한국,성인물(에로),한국,성인물(에로)
